127.0.0.1 - - [27/Mar/2024:10:08:11 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [27/Mar/2024:10:08:11 +0900] "GET /html_prj/day0327/display.html HTTP/1.1" 200 238
0:0:0:0:0:0:0:1 - - [27/Mar/2024:10:08:12 +0900] "GET /html_prj/common/images/google_logo.png HTTP/1.1" 200 4524
0:0:0:0:0:0:0:1 - - [27/Mar/2024:10:08:12 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [27/Mar/2024:10:08:16 +0900] "GET /html_prj/day0327/display.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Mar/2024:10:12:36 +0900] "GET /html_prj/day0327/display.html HTTP/1.1" 200 461
0:0:0:0:0:0:0:1 - - [27/Mar/2024:10:12:46 +0900] "GET /html_prj/day0327/display.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Mar/2024:10:12:47 +0900] "GET /html_prj/day0327/display.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Mar/2024:10:12:47 +0900] "GET /html_prj/day0327/display.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Mar/2024:10:12:48 +0900] "GET /html_prj/day0327/display.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Mar/2024:10:12:48 +0900] "GET /html_prj/day0327/display.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Mar/2024:10:12:48 +0900] "GET /html_prj/day0327/display.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Mar/2024:10:12:48 +0900] "GET /html_prj/day0327/display.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Mar/2024:10:12:48 +0900] "GET /html_prj/day0327/display.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Mar/2024:10:12:48 +0900] "GET /html_prj/day0327/display.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Mar/2024:10:12:49 +0900] "GET /html_prj/day0327/display.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Mar/2024:10:12:49 +0900] "GET /html_prj/day0327/display.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Mar/2024:10:12:49 +0900] "GET /html_prj/day0327/display.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Mar/2024:10:12:49 +0900] "GET /html_prj/day0327/display.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Mar/2024:10:12:50 +0900] "GET /html_prj/day0327/display.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Mar/2024:10:12:50 +0900] "GET /html_prj/day0327/display.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Mar/2024:10:12:50 +0900] "GET /html_prj/day0327/display.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Mar/2024:10:13:13 +0900] "GET /html_prj/day0327/display.html HTTP/1.1" 200 485
