127.0.0.1 - - [09/Jul/2024:14:33:02 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [09/Jul/2024:14:33:03 +0900] "GET /theater_prj/asd/css/layout.css HTTP/1.1" 200 83084
0:0:0:0:0:0:0:1 - - [09/Jul/2024:14:33:03 +0900] "GET /common/js/extraTheaters.js HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [09/Jul/2024:14:33:03 +0900] "GET /theater_prj/asd/css/module.css HTTP/1.1" 200 349188
0:0:0:0:0:0:0:1 - - [09/Jul/2024:14:33:03 +0900] "GET /theater_prj/asd/logo.png HTTP/1.1" 200 32467
0:0:0:0:0:0:0:1 - - [09/Jul/2024:14:33:03 +0900] "GET /theater_prj/asd/logo_white.png HTTP/1.1" 200 18694
0:0:0:0:0:0:0:1 - - [09/Jul/2024:14:33:09 +0900] "GET /common/js/extraTheaters.js HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [09/Jul/2024:14:33:27 +0900] "GET /common/js/extraTheaters.js HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [09/Jul/2024:14:33:28 +0900] "GET /common/js/extraTheaters.js HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [09/Jul/2024:14:33:45 +0900] "GET /theater_prj/asd/jsp/index.jsp HTTP/1.1" 500 17866
0:0:0:0:0:0:0:1 - - [09/Jul/2024:14:33:51 +0900] "GET /theater_prj/asd/jsp/index.jsp HTTP/1.1" 500 17866
0:0:0:0:0:0:0:1 - - [09/Jul/2024:14:34:10 +0900] "GET /theater_prj/asd/jsp/index.jsp HTTP/1.1" 500 17866
0:0:0:0:0:0:0:1 - - [09/Jul/2024:14:34:10 +0900] "GET /theater_prj/asd/jsp/index.jsp HTTP/1.1" 500 17866
0:0:0:0:0:0:0:1 - - [09/Jul/2024:14:35:51 +0900] "GET /common/js/extraTheaters.js HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [09/Jul/2024:14:35:51 +0900] "GET /theater_prj/asd/images/movie/MOV004.jpg HTTP/1.1" 200 3137091
0:0:0:0:0:0:0:1 - - [09/Jul/2024:14:35:51 +0900] "GET /theater_prj/asd/images/movie/MOV003.jpg HTTP/1.1" 200 181200
0:0:0:0:0:0:0:1 - - [09/Jul/2024:14:35:51 +0900] "GET /theater_prj/asd/images/movie/MOV007.jpg HTTP/1.1" 200 173093
0:0:0:0:0:0:0:1 - - [09/Jul/2024:14:35:51 +0900] "GET /theater_prj/asd/images/movie/MOV002.jpg HTTP/1.1" 200 87632
0:0:0:0:0:0:0:1 - - [09/Jul/2024:14:35:51 +0900] "GET /theater_prj/asd/images/movie/MOV001.jpg HTTP/1.1" 200 88963
0:0:0:0:0:0:0:1 - - [09/Jul/2024:14:35:51 +0900] "GET /theater_prj/asd/images/movie/MOV008.jpg HTTP/1.1" 200 162013
0:0:0:0:0:0:0:1 - - [09/Jul/2024:14:35:51 +0900] "GET /theater_prj/asd/jsp/index.jsp HTTP/1.1" 200 52276
0:0:0:0:0:0:0:1 - - [09/Jul/2024:14:35:51 +0900] "GET /theater_prj/asd/images/movie/MOV010.jpg HTTP/1.1" 200 111112
0:0:0:0:0:0:0:1 - - [09/Jul/2024:14:35:51 +0900] "GET /theater_prj/asd/images/movie/MOV011.jpg HTTP/1.1" 200 273501
0:0:0:0:0:0:0:1 - - [09/Jul/2024:14:35:51 +0900] "GET /theater_prj/asd/images/movie/MOV012.jpg HTTP/1.1" 200 42533
